dataset,method,contract,category,bugs,found,reward,bc_cov,first_bug,tokens
smartbugs,madfuzz,sm:multiowned_vulnerable,access_control,7,1,82.22,0.8056,12.0,2383
smartbugs,madfuzz,sm:parity_wallet_bug_2,access_control,0,0,16.23,0.4058,,4834
smartbugs,madfuzz,sm:simple_suicide,access_control,100,1,70.0,0.5,0.0,2234
smartbugs,madfuzz,sm:wallet_02_refund_nosub,access_control,0,0,27.14,0.6786,,2615
smartbugs,madfuzz,sm:wallet_03_wrong_constructor,access_control,25,1,83.85,0.8462,3.0,2478
smartbugs,madfuzz,sm:wallet_04_confused_sign,access_control,17,1,76.67,0.6667,0.0,2382
smartbugs,madfuzz,sm:BECToken,arithmetic,0,0,21.54,0.5385,,3715
smartbugs,madfuzz,sm:token,arithmetic,75,1,32.5,0.6875,1.0,2988
smartbugs,madfuzz,sm:tokensalechallenge,arithmetic,0,0,23.64,0.5909,,2438
smartbugs,madfuzz,sm:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,0,0,31.82,0.7955,,2874
