dataset,contract,category,iteration,kind,strategy,regime,new_bc,reward,bug,seed_bug,genuine
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,44,gen,arithmetic_probe,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,45,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,46,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,47,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,48,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,49,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,50,mut,call_insert,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,51,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,52,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,53,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,54,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,55,gen,price_oracle_probe,random,0.0,0.5333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,56,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,57,gen,price_oracle_probe,greedy,0.0,0.8,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,58,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,59,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,60,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,61,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,62,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,63,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,64,mut,arg_shuffle,greedy,0.0,0.5333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,65,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,66,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,67,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,68,mut,arg_shuffle,greedy,0.0,0.8,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,69,mut,arg_shuffle,greedy,0.0,1.0667,False,False,False
